,City,Latitude,Longitude,Humidity,Wind_Speed,Temperature,Cloudiness
334,Lago da Pedra,-4.33,-45.17,81,0.66,36.45,41
335,Khatanga,71.97,102.5,56,7.16,35.326,82
336,Sorong,-0.88,131.25,77,2.34,37.596000000000004,20
337,Henties Bay,-22.12,14.28,95,0.45,34.251999999999995,0
338,Ko Samui,9.54,99.94,74,2.6,37.83,20
339,Grants,35.15,-107.85,23,5.1,37.629999999999995,1
340,Chandler,33.31,-111.84,14,4.6,40.67999999999999,40
341,Kayanga,-1.53,31.15,86,0.99,35.262,74
342,Ribeira do Pombal,-10.83,-38.54,93,1.27,35.970000000000006,85
343,Russell,32.35,-85.2,88,2.84,36.528,1
344,Zliten,32.47,14.57,82,2.45,36.626,0
345,Aktash,50.3,87.73,95,1.99,33.734,100
346,Chililabombwe,-12.36,27.82,70,2.87,34.712,2
347,Iberia,29.95,-91.75,74,3.1,37.822,1
348,Youkounkoun,12.53,-13.13,96,2.17,36.525999999999996,100
349,San Nicolas,18.17,120.6,88,1.5,37.42999999999999,75
350,Kasane,-17.82,25.15,49,1.71,33.672000000000004,0
351,Scottsbluff,41.87,-103.67,40,4.6,38.029999999999994,1
352,São Lourenço do Sul,-31.37,-51.98,92,4.23,33.696000000000005,68
353,Vilyuysk,63.76,121.62,69,2.84,36.354,95
354,Kholm,59.27,32.85,91,1.04,34.382000000000005,90
355,Opuwo,-18.06,13.84,52,1.73,33.996,0
356,Lobito,-12.35,13.55,83,1.96,36.028,0
357,Port Macquarie,-31.43,152.92,57,3.28,35.474000000000004,0
358,Aksarka,66.56,67.8,92,4.33,34.882000000000005,100
359,Utinga,-5.82,-35.4,94,2.1,36.512,75
360,Honiara,-9.43,159.95,79,4.1,38.029999999999994,75
361,Jiaozuo,35.24,113.23,55,2.14,37.608000000000004,9
362,Cabo San Lucas,22.89,-109.91,46,5.1,38.29,20
363,Eirunepé,-6.66,-69.87,96,1.07,36.458000000000006,100
364,Ainaži,57.86,24.36,82,3.33,34.767999999999994,0
365,Ucar,40.52,47.65,64,2.52,36.029999999999994,20
366,Nichinan,31.6,131.37,88,4.1,37.23,75
367,Agropoli,40.35,15.0,66,1.79,36.379999999999995,0
368,Okhotsk,59.38,143.3,56,5.1,36.084,21
369,Barinas,8.62,-70.21,91,0.68,36.452,83
370,Mongoumba,3.64,18.59,96,1.06,36.326,100
371,Ubinskoye,55.31,79.68,87,4.64,35.336,41
372,São João da Barra,-21.64,-41.05,79,4.89,36.282000000000004,2
373,Ketchikan,55.34,-131.65,67,5.1,35.23,90
374,Yumen,40.28,97.2,19,5.45,37.846000000000004,100
375,Bouloupari,-21.87,166.05,61,1.5,37.23,90
376,Oleksandrivka,48.96,32.23,91,6.9,35.286,100
377,Kahului,20.89,-156.47,48,11.3,37.379999999999995,40
378,Dryden,49.78,-92.75,60,2.6,36.42999999999999,90
379,Rapid Valley,44.06,-103.15,51,4.6,37.64,1
380,Douglas,41.3,-96.17,61,2.74,36.914,1
381,Buala,-8.14,159.59,79,5.03,37.672000000000004,94
382,Calabozo,8.92,-67.43,96,1.38,36.71,19
383,Husavik,66.04,-17.34,93,2.04,34.029999999999994,40
384,Honningsvåg,70.98,25.97,83,2.65,33.89,8
385,Isangel,-19.55,169.27,65,5.1,37.23,75
386,Shirokiy,49.76,129.52,69,1.71,37.482000000000006,0
387,Chicama,-7.84,-79.15,81,2.01,35.472,8
388,Molochnoye,59.29,39.68,94,2.36,34.65,99
389,Yarensk,62.17,49.09,73,1.93,34.772000000000006,11
390,Mpulungu,-8.76,31.11,47,5.1,36.315999999999995,0
391,Mastung,29.8,66.84,53,2.23,36.891999999999996,0
392,Murmino,54.6,40.05,79,1.82,34.81,0
393,Turbat,26.0,63.04,75,1.59,37.598,100
394,Shimoda,34.67,138.95,83,4.1,36.166,75
395,Teguise,29.06,-13.56,83,6.7,36.23,1
396,Dondo,-19.61,34.74,72,4.1,36.029999999999994,82
397,Alzamay,55.56,98.66,48,3.32,36.588,100
398,Bacungan,9.91,118.7,62,3.1,38.42999999999999,40
399,Antalaha,-14.9,50.28,88,2.24,35.95,36
400,Cayenne,4.93,-52.33,100,1.5,37.029999999999994,75
401,Paka,4.64,103.44,94,1.0,37.029999999999994,40
402,Sola,-13.88,167.55,82,12.01,37.362,56
403,Fairbanks,64.84,-147.72,40,4.1,36.17999999999999,40
404,Road Town,18.42,-64.62,86,7.15,37.664,7
405,Atar,20.52,-13.05,42,3.97,38.40599999999999,0
406,Taywarah,33.35,64.42,32,2.24,35.408,0
407,Petrovac,44.38,21.42,88,1.91,34.141999999999996,25
408,Dolores,-36.31,-57.68,72,4.42,32.746,6
409,Arrondissement de Bourges,47.25,2.42,48,4.1,34.867999999999995,61
410,Tuy Hoa,13.08,109.3,54,0.7,38.512,85
411,Ostrovnoy,68.05,39.51,91,3.28,33.73,100
412,Ayamé,5.61,-3.16,97,0.94,36.367999999999995,82
413,Khanbari,27.37,87.2,72,0.61,37.07000000000001,92
414,Coração de Jesus,-16.69,-44.37,53,2.38,35.260000000000005,15
415,Turtas,58.94,69.13,63,4.07,36.516,32
416,Pahrump,36.21,-115.98,10,1.79,40.432,0
417,Shenjiamen,29.96,122.3,83,2.06,37.556,98
418,Kaeo,-35.1,173.78,3,1.34,35.251999999999995,86
419,Kautokeino,69.01,23.04,82,1.81,34.08200000000001,100
420,Brae,60.4,-1.35,87,4.6,34.42999999999999,100
421,Shahr-e Bābak,30.12,55.12,25,2.1,37.038,84
422,Mackay,-21.15,149.2,33,3.1,36.42999999999999,75
423,Norman Wells,65.28,-126.83,60,2.6,36.029999999999994,75
424,Saldanha,-33.01,17.94,76,6.2,34.83,72
425,Springdale,36.19,-94.13,54,1.83,37.0,1
426,Mentougou,39.94,116.09,71,1.77,37.882000000000005,100
427,Ulcinj,41.93,19.22,46,6.2,36.484,0
428,Poum,-20.23,164.02,76,4.35,36.762,78
429,Laguna,38.42,-121.42,14,3.1,38.989999999999995,1
430,Lata,40.16,-8.33,78,1.35,35.936,0
431,Tevriz,57.51,72.4,63,2.58,36.306,10
432,Tommot,58.96,126.29,38,1.14,38.815999999999995,99
433,Kasongo-Lunda,-6.47,16.82,69,0.18,36.232000000000006,69
434,Streator,41.12,-88.84,83,2.1,36.346000000000004,1
435,Tomatlán,19.93,-105.25,82,0.59,37.263999999999996,100
436,Poplar Bluff,36.76,-90.39,65,1.5,37.284000000000006,1
437,Nizhniy Chir,48.36,43.09,60,4.38,36.720000000000006,95
438,San Sebastian Teitipac,16.95,-96.61,78,1.85,35.416,8
439,Muzhi,65.37,64.67,75,8.21,35.274,43
440,Pacific Grove,36.62,-121.92,56,4.1,35.588,1
441,Kirakira,-10.45,161.92,76,6.0,37.70399999999999,14
442,San Luis,-33.3,-66.34,60,2.22,33.488,100
443,Verkhoyansk,67.54,133.38,45,3.28,37.577999999999996,13
444,Xining,36.62,101.77,45,1.74,36.242,99
